,Name,Party,Handle,Colour,Created,Followers,Tweets
0,Eoin Ó Broin,SF,EOBroin,#008800,2010-07-13 14:25:57,7579,7010
1,Caoimhghín Ó Caoláin,SF,None,#008800,2007-03-23 04:26:15,2,197
2,Éamon Ó Cuív,FF,eamonocuiv,#66BB66,2009-10-12 13:39:35,6810,3188
3,Seán Ó Fearghaíl,CC,SOFearghail_TD,yellow,2014-04-08 11:22:56,802,307
4,Donnchadh Ó Laoghaire,SF,Donnchadhol,#008800,2009-02-15 21:02:46,3361,12104
5,Aengus Ó Snodaigh,SF,aosnodaigh,#008800,2009-10-15 15:46:35,5670,1934
6,Gerry Adams,SF,GerryAdamsSF,#008800,2011-01-31 12:16:05,121381,14828
7,Bobby Aylward,FF,bobby_aylward,#66BB66,2015-03-05 10:07:51,786,194
8,Maria Bailey,FG,MariaBaileyFG,#6699FF,2014-10-11 15:29:36,1230,1774
9,Seán Barrett,FG,SeanBarrettTD,#6699FF,2010-12-20 16:42:52,510,10
10,Mick Barry,AAA,MickBarryTD,#E5E500,2014-06-18 15:27:15,1677,484
11,Richard Boyd Barrett,PBP,RBoydBarrett,#E5E500,2011-01-10 13:05:45,16332,3607
12,John Brady,SF,johnbradysf,#008800,2010-12-22 11:29:14,2052,3266
13,John Brassil,FF,cllrjbrassil,#66BB66,2013-12-18 13:43:21,436,55
14,Declan Breathnach,FF,breathnachlouth,#66BB66,2011-01-07 20:58:37,1001,1287
15,Pat Breen,FG,PatBreen1,#6699FF,2009-04-06 07:45:06,4062,1688
16,Colm Brophy,FG,brophytalks,#6699FF,2010-09-03 10:26:28,678,173
17,Tommy Broughan,IND,TommyBroughanTD,Black,2009-10-06 10:17:49,2723,719
18,James Browne,FF,JamesforWexford,#66BB66,0,0,0
19,Richard Bruton,FG,RichardBrutonTD,#6699FF,2011-01-12 18:14:36,9958,2044
20,Pat Buckley,SF,None,#008800,2007-03-23 04:26:15,2,197
21,Peter Burke,FG,peterburkefg,#6699FF,2011-01-24 16:26:40,612,751
22,Joan Burton,LAB,JoanBurton,#CC0000,2009-09-25 10:36:11,17255,1009
23,Mary Butler,FF,mary_butler_,#66BB66,2011-01-29 22:24:34,989,2667
24,Catherine Byrne,FG,None,#6699FF,2007-03-23 04:26:15,2,197
25,Thomas Byrne,FF,ThomasByrneTD,#66BB66,2009-04-18 15:55:44,5031,10382
26,Jackie Cahill,FF,jackiecahillff,#66BB66,2015-03-14 23:24:08,2209,1180
27,Dara Calleary,FF,daracalleary,#66BB66,2009-08-20 08:56:05,6847,6514
28,Seán Canney,IND,None,Black,2007-03-23 04:26:15,2,197
29,Ciarán Cannon,FG,ciarancannon,#6699FF,2009-02-11 12:24:25,6493,14459
30,Joe Carey,FG,joecareytd,#6699FF,2010-04-22 13:14:40,3867,1686
31,Pat Casey,FF,CllrPat,#66BB66,0,0,0
32,Shane Cassells,FF,shanecassells,#66BB66,2015-06-18 15:40:15,1238,653
33,Jack Chambers,FF,jackfchambers,#66BB66,2010-09-18 16:47:01,1886,504
34,Lisa Chambers,FF,lichamber,#66BB66,2012-01-13 23:30:44,2531,1218
35,Joan Collins,ULP,JoanCollinsTD,#CC0000,2011-08-24 16:43:17,5992,3240
36,Michael Collins,IND,None,Black,2007-03-23 04:26:15,2,197
37,Niall Collins,FF,niallcollinstd,#66BB66,2010-07-30 14:21:56,4856,2166
38,Catherine Connolly,IND,None,Black,2007-03-23 04:26:15,2,197
39,Ruth Coppinger,AAA,RuthCoppingerTD,#E5E500,2014-05-28 10:05:06,5730,2226
40,Marcella Corcoran Kennedy,FG,MarcellaCK,#6699FF,2012-03-09 05:32:02,1909,4850
41,Simon Coveney,FG,simoncoveney,#6699FF,2010-03-02 10:39:38,23923,4386
